ABB_NAME,Offence Count,Rate
 Mansfield,585,6515.20
 Maroondah,"7,955",6769.90
 Mitchell,"4,401",9935.00
 Moira,"1,979",6641.60
 Monash,"10,728",5358.30
 Murrindindi,731,5049.00
 South Gippsland,"1,366",4618.80
 Strathbogie,592,5561.80
 Towong,207,3419.20
 Wangaratta,"2,356",8100.10
 Wellington,"3,695",8394.50
 Whitehorse,"8,131",4612.70
 Wodonga,"3,315",8001.60
 Yarra Ranges,"7,875",4978.80
Total,"111,911",6585.90
 Bayside,"4,767",4508.00
 Cardinia,"5,835",5447.30
 Casey,"20,164",5922.90
 Frankston,"14,783",10421.80
 Glen Eira,"6,548",4254.20
 Greater Dandenong,"18,357",11049.10
 Kingston,"10,527",6440.40
 Mornington Peninsula,"10,879",6560.60
 Port Phillip,"12,868",11361.00
 Stonnington,"10,551",9073.70
Total,"115,279",7323.80
 Ararat,"1,287",10911.40
 Ballarat,"11,422",10642.50
 Buloke,247,3994.80
 Campaspe,"3,571",9499.90
 Central Goldfields,"1,603",12136.60
 Colac-Otway,"1,586",7376.10
 Corangamite,849,5260.50
 Gannawarra,568,5385.90
 Glenelg,"1,544",7851.90
 Golden Plains,681,2945.80
 Greater Bendigo,"9,735",8389.30
 Greater Geelong,"21,595",8561.70
 Hepburn,842,5325.10
 Hindmarsh,334,5917.80
 Horsham,"2,482",12488.70
 Loddon,412,5483.80
 Macedon Ranges,"2,097",4246.10
 Mildura,"6,642",11964.10
 Moorabool,"2,296",6722.10
 Mount Alexander,869,4453.20
 Moyne,537,3180.00
 Northern Grampians,"1,022",8941.40
 Pyrenees,420,5712.00
 Queenscliffe,294,9859.20
 Southern Grampians,"1,508",9346.70
 Surf Coast,"1,130",3503.70
 Swan Hill,"2,518",12129.10
 Warrnambool,"3,659",10495.40
 West Wimmera,159,4117.00
 Yarriambiack,523,7855.20
Total,"82,432",8276.80
 Justice Institutions and Immigration Facilities,"2,541",
Total,"2,541",
 Unincorporated Vic,126,
Total,126,
 Banyule,"9,658",7480.20
 Brimbank,"17,863",8629.60
 Darebin,"16,355",10302.30
 Hobsons Bay,"6,322",6649.80
 Hume,"21,916",10182.20
 Maribyrnong,"8,686",9720.00
 Melbourne,"36,935",23209.00
 Melton,"11,147",7500.40
 Moonee Valley,"9,431",7520.10
 Moreland,"13,916",7863.30
 Nillumbik,"2,744",4246.50
 Whittlesea,"16,117",7472.40
 Wyndham,"14,731",6110.60
 Yarra,"13,430",13990.50
Total,"199,251",9389.60
 Alpine,379,2998.90
 Bass Coast,"2,647",7697.90
 Baw Baw,"3,871",7638.70
 Benalla,"1,309",9367.40
 Boroondara,"8,350",4647.20
 East Gippsland,"3,888",8427.30
 Greater Shepparton,"8,324",12697.90
 Indigo,457,2798.00
 Knox,"12,105",7480.20
 Latrobe,"13,928",18593.50
 Manningham,"5,194",4179.60
 Mansfield,637,7241.90
 Maroondah,"8,925",7672.70
 Mitchell,"4,582",10679.90
 Moira,"1,979",6674.10
 Monash,"11,721",5952.10
 Murrindindi,671,4714.10
 South Gippsland,"1,587",5412.50
 Strathbogie,632,6028.20
 Towong,207,3427.70
 Wangaratta,"2,473",8571.00
 Wellington,"4,386",10013.50
 Whitehorse,"8,544",4931.20
 Wodonga,"3,266",8002.50
 Yarra Ranges,"8,540",5444.00
Total,"118,602",7065.30
 Bayside,"5,159",4947.20
 Cardinia,"6,606",6451.00
 Casey,"23,499",7191.30
 Frankston,"15,822",11243.80
 Glen Eira,"7,532",4973.00
 Greater Dandenong,"19,900",12169.90
 Kingston,"11,282",7005.20
 Mornington Peninsula,"11,638",7103.50
 Port Phillip,"13,620",12308.40
 Stonnington,"10,832",9520.80
Total,"125,890",8182.80
 Ararat,"1,304",11092.20
 Ballarat,"11,970",11354.40
 Buloke,177,2852.50
 Campaspe,"3,540",9415.60
 Central Goldfields,"1,227",9332.20
 Colac-Otway,"2,096",9780.70
 Corangamite,"1,080",6662.60
 Gannawarra,664,6282.50
 Glenelg,"1,665",8455.20
 Golden Plains,752,3332.20
 Greater Bendigo,"10,556",9252.30
 Greater Geelong,"22,670",9225.60
